Temporada;Jornada;Recaptació;Pot;15;14;13;12;11;10
10-11;41;10929381,50;1148632;7;11;288;4199;36047;207341
10-11;42;1739779,50;0;10;11;246;2858;19948;92486
10-11;43;10642898,00;336838;6;29;1035;14038;108505;519610
10-11;44;4580715,00;0;2;7;141;1673;14837;84684
10-11;45;10018410,00;0;13;24;491;5749;46964;261287
10-11;46;11071945,50;0;1;3;133;2139;19652;119396
10-11;47;10383654,00;0;11;47;1137;14391;108119;515935
10-11;48;5137072,50;0;11;78;4825;50287;247005;729745
10-11;49;9962413,50;462337;0;0;18;404;6203;55058
10-11;50;10570548,00;2654068;13;24;584;8701;69264;349966
10-11;51;9912279,50;0;305;1457;26652;197449;798191;1984639
10-11;52;8288864,00;892105;816;988;16843;125828;540296;1440939
10-11;53;9632379,00;745998;22;29;727;11479;98668;500028
10-11;54;8819487,00;0;2;4;104;1709;16010;104070
10-11;55;4440500,00;0;38;67;1301;14053;88575;352891
10-11;56;7410534,50;0;16;21;504;6882;50715;246919
10-11;57;8561384,50;0;5;57;1566;16277;102446;423974
10-11;58;3539147,50;0;4;6;277;3682;27402;132053
10-11;59;3728853,50;0;26;49;1732;20530;124903;452326
11-12;01;5000000,00;0;0;0;0;0;0;0
11-12;02;4960840,00;0;1;17;468;5165;38889;194852
11-12;03;3171969,00;0;0;0;10;78;856;6611
11-12;04;1571334,50;0;2095;5649;42573;175410;420523;631999
11-12;05;7715023,00;1033430;0;0;66;1617;18217;118600
11-12;06;1753521,00;0;0;0;2;100;1004;7679
11-12;07;8986915,00;2872155;0;0;37;803;10849;81463
11-12;08;3474499,50;0;0;1;117;2350;22603;135282
11-12;09;9403958,50;5235051;8;33;879;9670;65229;291194
11-12;10;2145940,50;0;11;32;1650;21069;135676;428833
11-12;11;9690891,50;347450;30;110;2783;31548;201305;795464
11-12;12;4073745,00;0;0;0;6;61;657;4620
11-12;13;1540798,00;0;0;4;85;1497;13512;73403
11-12;14;9571881,00;1089359;3;11;371;5308;43588;228967
11-12;15;2195328,50;0;66;272;4549;37906;167316;453977
11-12;16;9217084,50;154080;1;1;103;2129;22562;145292
11-12;17;4537845,00;0;2;6;171;2351;22382;136987
11-12;18;9081573,50;197580;70;194;13496;154660;758911;2037749
11-12;19;1692079,50;0;9;15;404;4993;37166;163770
11-12;20;9542833,50;817342;3;5;117;1842;16141;91761
11-12;21;4075864,00;0;0;0;13;154;1321;7761
11-12;22;9765786,00;1048977;4;6;224;3091;25353;138284
11-12;23;1934384,50;0;0;2;68;1225;11855;66623
11-12;24;8987844,00;0;0;0;19;430;6061;59102
11-12;25;10096947,50;2170764;25;68;1556;19313;128917;568418
11-12;26;1592052,50;0;2;4;104;1371;9654;45533
11-12;27;9024627,50;0;0;0;12;136;1524;12060
11-12;28;9474828,00;1985418;5;10;312;4232;34864;192748
11-12;29;1910944,00;0;3;3;168;2722;23396;119654
11-12;30;8771045,50;0;15;45;1164;14457;104756;474479
11-12;31;9162020,50;0;2;8;353;5758;55685;341343
11-12;32;8995201,00;0;15;48;1145;12598;84147;372610
11-12;33;9292997,50;0;1;1;117;2366;27625;190213
11-12;34;9528575,50;0;9;40;1374;18321;132632;588486
11-12;35;10146524,50;0;0;1;136;2675;26028;179769
11-12;36;1346430,50;0;0;1;117;1580;12712;61633
11-12;37;9383466,00;1014652;38;129;3141;34990;216566;845592
11-12;38;1454732,50;0;0;0;28;546;6006;40475
11-12;39;9557983,50;134643;2;11;411;5849;51314;301010
11-12;40;10315428,50;320041;24;62;2170;28281;196582;825128
11-12;41;10491030,50;0;13;47;1282;16746;127194;605424
11-12;42;9831548,00;0;4;4;102;1598;15901;104587
11-12;43;3533009,50;0;0;1;38;992;11918;81331
11-12;44;8951154,50;0;0;1;26;872;9497;68082
11-12;45;10124511,50;1248416;6;14;408;5767;50306;294205
11-12;46;8895765,00;0;13;24;545;7590;60154;316984
11-12;47;3544727,50;0;206;724;10332;71424;300763;786948
11-12;48;9026814,50;0;6;31;979;13642;108868;523880
11-12;49;9638541,00;319025;18;165;3512;33590;188794;684485
11-12;50;8769688,00;0;6;9;415;5957;50868;274804
11-12;51;2632003,00;0;0;8;278;4294;37055;183124
11-12;52;8108571,00;0;44;46;1380;15987;101801;428487
11-12;53;9423167,00;263200;18;22;910;12108;93920;452964
11-12;54;3857048,50;0;1;8;436;6004;47141;219221
11-12;55;3690343,50;0;1;1;165;2983;27249;153385
11-12;56;3968975,00;0;0;0;57;1505;17049;113706
12-13;01;5333633,00;0;0;1;53;720;6285;39508
12-13;02;5992813,50;0;0;0;3;76;925;7090
12-13;03;6705651,50;0;19;101;3922;45264;235373;790031
12-13;04;3345431,00;0;4;8;142;2234;19428;101503
12-13;05;8730335,50;2191593;232;3929;51099;294795;956281;2100556
12-13;06;1858372,00;0;7;21;613;7569;51466;208542
